"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y","iteration"
101,1,0.795774715459477,6.362012,13.046687,5,7.308797,7.054557,5.858367,6.189524,6.347397,NA,NA,NA,NA,NA,NA,13.562807,13.775279,13.602242,12.854228,12.706083,NA,NA,NA,NA,NA,NA,1
102,1,0.795774715459477,6.877862,6.968698,7,7.377707,6.99046,5.933159,5.655719,5.663944,5.843844,6.413087,NA,NA,NA,NA,7.094468,7.3988,7.073921,6.53125,6.436172,6.109204,6.246774,NA,NA,NA,NA,1
103,1,0.795774715459477,7.827679,5.446722,4,7.901436,7.799809,7.333401,8.146301,NA,NA,NA,NA,NA,NA,NA,6.245891,6.190308,5.344048,5.156291,NA,NA,NA,NA,NA,NA,NA,1
104,1,0.795774715459477,9.475329,19.856855,5,9.589949,9.019349,9.107418,9.328866,9.508453,NA,NA,NA,NA,NA,NA,20,20,19.266929,19.20858,19.195704,NA,NA,NA,NA,NA,NA,1
105,1,0.795774715459477,6.00841,12.669865,5,6.347397,6.189524,5.44001,6.006543,6.354507,NA,NA,NA,NA,NA,NA,12.706083,12.854228,12.542724,11.97225,12.29153,NA,NA,NA,NA,NA,NA,1
106,1,0.795774715459477,9.491948,4.264163,7,10.406258,10.530769,10.260701,8.962357,9.264673,9.338794,10.129126,NA,NA,NA,NA,4.580527,4.929261,4.942925,4.182098,3.542029,3.501527,4.149778,NA,NA,NA,NA,1
107,1,0.795774715459477,9.723376,2.587447,5,10.331512,9.440251,9.132721,9.310675,10.549267,NA,NA,NA,NA,NA,NA,2.868142,3.251181,2.47369,2.086248,2.644705,NA,NA,NA,NA,NA,NA,1
108,1,0.795774715459477,8.303989,9.562361,3,9.131458,7.685017,8.143141,NA,NA,NA,NA,NA,NA,NA,NA,9.943553,9.424877,8.700203,NA,NA,NA,NA,NA,NA,NA,NA,1
109,1,0.795774715459477,8.119018,18.529173,6,8.607052,7.372887,7.173374,7.657094,8.622655,8.644842,NA,NA,NA,NA,NA,19.043741,19.53915,18.6691,17.9926,18.135134,18.151925,NA,NA,NA,NA,NA,1
110,1,0.795774715459477,5.308931,11.975219,7,5.44001,5.124401,4.653316,4.69013,5.08065,5.992672,6.006543,NA,NA,NA,NA,12.542724,12.765683,12.255231,11.706949,11.291805,11.655432,11.97225,NA,NA,NA,NA,1
