"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
101,1,0.795774715459477,9.57403,12.524907,7,9.177497,8.785534,8.802958,8.819188,9.470753,10.765121,10.759416,NA,NA,NA,NA,13.467422,13.38883,12.887292,12.861556,12.119388,12.401345,12.52963,NA,NA,NA,NA
102,1,0.795774715459477,9.685377,4.343154,7,10.562656,9.192332,8.854748,9.028491,9.055831,10.165978,10.55828,NA,NA,NA,NA,5.019997,5.171835,4.587633,4.066653,4.006025,3.714756,4.373076,NA,NA,NA,NA
103,1,0.795774715459477,6.430698,4.331346,8,6.607747,5.640243,5.562656,5.55828,5.782862,7.008072,7.031119,7.073904,NA,NA,NA,5.034503,5.099332,5.019997,4.373076,4.226437,3.768018,3.77592,3.929125,NA,NA,NA
104,1,0.795774715459477,9.152238,7.778901,4,9.797227,9.446322,8.675354,9.972408,NA,NA,NA,NA,NA,NA,NA,8.442303,8.684007,7.079398,7.819879,NA,NA,NA,NA,NA,NA,NA
105,1,0.795774715459477,8.208728,18.849114,4,8.318146,8.366295,7.764786,8.112266,NA,NA,NA,NA,NA,NA,NA,18.800252,18.903353,18.786037,18.571911,NA,NA,NA,NA,NA,NA,NA
106,1,0.795774715459477,7.59548,19.25216,5,8.446212,6.133333,6.526496,7.437282,7.736748,NA,NA,NA,NA,NA,NA,20,20,19.372508,18.696341,18.801382,NA,NA,NA,NA,NA,NA
107,1,0.795774715459477,8.682942,14.797106,4,8.790963,8.288234,8.576373,8.855096,NA,NA,NA,NA,NA,NA,NA,14.780805,15.059379,14.068842,14.519911,NA,NA,NA,NA,NA,NA,NA
108,1,0.795774715459477,5.673333,14.664918,6,6.335168,6.156889,5.610151,5.37845,5.445211,6.038164,NA,NA,NA,NA,NA,15.117243,15.375307,15.273416,15.057982,14.622767,14.053001,NA,NA,NA,NA,NA
109,1,0.795774715459477,8.284961,10.715226,8,8.771058,8.481728,8.026919,7.981564,7.86047,7.798649,7.797906,8.752772,NA,NA,NA,11.109618,11.39843,11.57509,11.569255,11.497112,11.455029,10.1952,9.430662,NA,NA,NA
110,1,0.795774715459477,8.525324,0.045459,5,9.21384,7.68814,7.176474,7.127817,9.207751,NA,NA,NA,NA,NA,NA,0.466128,0.68385,0.242173,0,0,NA,NA,NA,NA,NA,NA
111,1,0.795774715459477,7.288709,12.178749,5,7.161527,6.899923,7.537235,7.798649,7.86047,NA,NA,NA,NA,NA,NA,12.440623,12.238845,11.450963,11.455029,11.497112,NA,NA,NA,NA,NA,NA
112,1,0.795774715459477,8.595561,16.736031,5,9.305153,9.213122,8.042521,8.312394,9.071858,NA,NA,NA,NA,NA,NA,16.885846,17.364857,17.445793,16.082774,16.1752,NA,NA,NA,NA,NA,NA
