"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
101,1,0.795774715459477,6.772611,13.209694,6,6.650322,6.001685,6.209687,6.691717,7.141683,7.306034,NA,NA,NA,NA,NA,13.930285,13.524702,12.954366,12.588062,12.676245,12.924729,NA,NA,NA,NA,NA
102,1,0.795774715459477,6.851491,6.746229,4,7.48606,6.72649,6.287202,7.051366,NA,NA,NA,NA,NA,NA,NA,6.940097,7.331267,6.362245,6.10813,NA,NA,NA,NA,NA,NA,NA
103,1,0.795774715459477,7.02715,5.249273,5,7.610768,7.15171,6.428702,7.123501,7.680562,NA,NA,NA,NA,NA,NA,5.620999,5.907983,5.106947,4.611202,5.121986,NA,NA,NA,NA,NA,NA
104,1,0.795774715459477,9.013222,19.617605,5,9.445547,8.436374,8.544454,8.759939,9.535625,NA,NA,NA,NA,NA,NA,20,20,19.091204,18.957036,19.448514,NA,NA,NA,NA,NA,NA
105,1,0.795774715459477,6.114466,12.343622,5,6.691717,6.209687,5.583283,5.588076,6.432916,NA,NA,NA,NA,NA,NA,12.588062,12.954366,12.248651,11.966496,11.824762,NA,NA,NA,NA,NA,NA
106,1,0.795774715459477,9.918655,3.919742,7,10.575058,10.503094,10.249254,9.184024,9.129367,9.733489,10.321089,NA,NA,NA,NA,4.558581,4.755089,4.742588,4.054162,3.577224,3.237177,3.632346,NA,NA,NA,NA
107,1,0.795774715459477,9.786861,2.158741,5,9.522418,9.391749,10.436124,10.636243,10.88397,NA,NA,NA,NA,NA,NA,2.447461,2.322608,0.589782,0.850165,1.516176,NA,NA,NA,NA,NA,NA
108,1,0.795774715459477,8.244015,8.911932,6,8.752916,8.357711,7.848773,7.912837,8.141174,8.783156,NA,NA,NA,NA,NA,9.091129,9.444044,9.296944,8.282248,8.244584,8.598941,NA,NA,NA,NA,NA
109,1,0.795774715459477,7.839108,18.509078,5,8.139038,7.273932,7.097834,7.382275,8.00596,NA,NA,NA,NA,NA,NA,18.970653,19.08161,18.662837,18.048987,18.144159,NA,NA,NA,NA,NA,NA
110,1,0.795774715459477,5.049182,12.325528,6,5.023284,4.756797,4.587433,5.318554,5.588076,5.583283,NA,NA,NA,NA,NA,12.934218,12.815098,11.880501,11.689048,11.966496,12.248651,NA,NA,NA,NA,NA
111,1,0.795774715459477,6.071648,19.156579,6,6.42867,5.826193,5.270647,5.315098,5.392773,6.193046,NA,NA,NA,NA,NA,20,20,19.016775,18.73417,18.651639,18.689905,NA,NA,NA,NA,NA
